id,team_id,season_id,alias,alias_type,source,is_primary
225,4,5,BRA,abbreviation,standings,0
226,4,5,Brasília,season_display_name,standings,1
227,4,5,MAIS SOBRE O CLUBE,link_text,standings,0
228,4,5,Brasilia,slug_name,standings,0
229,5,5,ESB,abbreviation,standings,0
230,5,5,Espírito Santo,season_display_name,standings,1
231,5,5,MAIS SOBRE O CLUBE,link_text,standings,0
232,6,5,FLA,abbreviation,standings,0
233,6,5,Flamengo,season_display_name,standings,1
234,6,5,MAIS SOBRE O CLUBE,link_text,standings,0
235,7,5,FRA,abbreviation,standings,0
236,7,5,Franca,season_display_name,standings,1
237,7,5,Sesi Franca,logo_alt,standings,0
238,7,5,MAIS SOBRE O CLUBE,link_text,standings,0
239,8,5,JOI,abbreviation,standings,0
240,8,5,Joinville,season_display_name,standings,1
241,8,5,MAIS SOBRE O CLUBE,link_text,standings,0
242,8,5,Joinville 2,slug_name,standings,0
243,19,5,LSB,abbreviation,standings,0
244,19,5,L. Sorocabana,season_display_name,standings,1
245,19,5,MAIS SOBRE O CLUBE,link_text,standings,0
246,19,5,L Sorocabana,slug_name,standings,0
247,10,5,LIM,abbreviation,standings,0
248,10,5,Limeira,season_display_name,standings,1
249,10,5,MAIS SOBRE O CLUBE,link_text,standings,0
250,10,5,Limeira 2,slug_name,standings,0
251,11,5,MIN,abbreviation,standings,0
252,11,5,Minas,season_display_name,standings,1
253,11,5,KTO Minas,logo_alt,standings,0
254,11,5,MAIS SOBRE O CLUBE,link_text,standings,0
255,22,5,MOG,abbreviation,standings,0
256,22,5,Mogi,season_display_name,standings,1
257,22,5,Mogi Basquete,logo_alt,standings,0
258,22,5,MAIS SOBRE O CLUBE,link_text,standings,0
259,23,5,PAL,abbreviation,standings,0
260,23,5,Palmeiras,season_display_name,standings,1
261,23,5,MAIS SOBRE O CLUBE,link_text,standings,0
262,23,5,Palmeiras 2,slug_name,standings,0
263,12,5,CAP,abbreviation,standings,0
264,12,5,Paulistano,season_display_name,standings,1
265,12,5,MAIS SOBRE O CLUBE,link_text,standings,0
266,13,5,PIN,abbreviation,standings,0
267,13,5,Pinheiros,season_display_name,standings,1
268,13,5,MAIS SOBRE O CLUBE,link_text,standings,0
269,15,5,SJO,abbreviation,standings,0
270,15,5,São José,season_display_name,standings,1
271,15,5,Mr. Moo São José Basketball,logo_alt,standings,0
272,15,5,MAIS SOBRE O CLUBE,link_text,standings,0
273,15,5,Sao Jose,slug_name,standings,0
274,24,5,SUZ,abbreviation,standings,0
275,24,5,Suzano,season_display_name,standings,1
276,24,5,MAIS SOBRE O CLUBE,link_text,standings,0
277,24,5,Suzano 2,slug_name,standings,0
278,20,5,TIJ,abbreviation,standings,0
279,20,5,Tijuca,season_display_name,standings,1
280,20,5,MAIS SOBRE O CLUBE,link_text,standings,0
281,20,5,Tijuca 2,slug_name,standings,0
282,17,5,UBE,abbreviation,standings,0
283,17,5,Uberlândia,season_display_name,standings,1
284,17,5,MAIS SOBRE O CLUBE,link_text,standings,0
285,21,6,FOR,abbreviation,standings,0
286,21,6,Basq. Cearense,season_display_name,standings,1
287,21,6,Fortaleza Basquete Cearense,logo_alt,standings,0
288,21,6,MAIS SOBRE O CLUBE,link_text,standings,0
289,21,6,Basq Cearense,slug_name,standings,0
290,3,6,BAU,abbreviation,standings,0
291,3,6,Bauru,season_display_name,standings,1
292,3,6,Bauru Basket,logo_alt,standings,0
293,3,6,MAIS SOBRE O CLUBE,link_text,standings,0
294,4,6,BRA,abbreviation,standings,0
295,4,6,Brasília,season_display_name,standings,1
296,4,6,MAIS SOBRE O CLUBE,link_text,standings,0
297,4,6,Brasilia,slug_name,standings,0
298,5,6,ESB,abbreviation,standings,0
299,5,6,Espírito Santo,season_display_name,standings,1
300,5,6,MAIS SOBRE O CLUBE,link_text,standings,0
301,6,6,FLA,abbreviation,standings,0
302,6,6,Flamengo,season_display_name,standings,1
303,6,6,MAIS SOBRE O CLUBE,link_text,standings,0
304,7,6,FRA,abbreviation,standings,0
305,7,6,Franca,season_display_name,standings,1
306,7,6,Sesi Franca,logo_alt,standings,0
307,7,6,MAIS SOBRE O CLUBE,link_text,standings,0
308,25,6,GOI,abbreviation,standings,0
309,25,6,Goiânia,season_display_name,standings,1
310,25,6,MAIS SOBRE O CLUBE,link_text,standings,0
311,19,6,LSB,abbreviation,standings,0
312,19,6,L. Sorocabana,season_display_name,standings,1
313,19,6,MAIS SOBRE O CLUBE,link_text,standings,0
314,19,6,L Sorocabana,slug_name,standings,0
315,10,6,LIM,abbreviation,standings,0
316,10,6,Limeira,season_display_name,standings,1
317,10,6,MAIS SOBRE O CLUBE,link_text,standings,0
318,10,6,Limeira 2,slug_name,standings,0
319,26,6,MAC,abbreviation,standings,0
320,26,6,Macaé,season_display_name,standings,1
321,26,6,Macaé Basquete,logo_alt,standings,0
322,26,6,MAIS SOBRE O CLUBE,link_text,standings,0
323,26,6,Macae,slug_name,standings,0
324,11,6,MIN,abbreviation,standings,0
325,11,6,Minas,season_display_name,standings,1
326,11,6,KTO Minas,logo_alt,standings,0
327,11,6,MAIS SOBRE O CLUBE,link_text,standings,0
328,22,6,MOG,abbreviation,standings,0
329,22,6,Mogi,season_display_name,standings,1
330,22,6,Mogi Basquete,logo_alt,standings,0
331,22,6,MAIS SOBRE O CLUBE,link_text,standings,0
332,23,6,PAL,abbreviation,standings,0
333,23,6,Palmeiras,season_display_name,standings,1
334,23,6,MAIS SOBRE O CLUBE,link_text,standings,0
335,23,6,Palmeiras 2,slug_name,standings,0
336,12,6,CAP,abbreviation,standings,0
337,12,6,Paulistano,season_display_name,standings,1
338,12,6,MAIS SOBRE O CLUBE,link_text,standings,0
339,13,6,PIN,abbreviation,standings,0
